Id,City,UseYear,RoadWide,RegisterReason,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,landSize,IdenPrice
1,1,16,12,02,4,1,30,0.000000,01,0.000,0,0.00,124.07,34.210000,3.320000,0.000000,47.20,23146940.00
2,9,44,6,02,4,2,35,0.000000,04,0.000,0,0.00,24.68,7.470000,0.000000,0.000000,11.40,7157200.00
3,1,25,6,02,6,2,35,8.000000,01,1100000.000,2,7.64,49.41,12.450000,1.360000,1.140000,11.44,7276250.00
4,3,14,6,02,4,1,35,0.000000,01,0.000,0,0.00,51.52,14.060000,1.520000,0.000000,22.86,7952880.00
5,3,4,12,02,4,1,10,0.000000,04,0.000,0,0.00,84.35,23.430000,2.090000,0.000000,29.66,18963150.00
6,1,12,15,04,4,1,35,0.000000,01,0.000,0,0.00,62.00,15.290000,3.460000,0.000000,30.63,10389520.00
7,10,34,20,02,12,5,34,20.000000,01,0.000,0,0.00,18.25,4.000000,0.420000,1.100000,1.69,9855000.00
8,3,22,30,06,7,5,35,17.000000,01,450000.000,1,4.00,43.78,9.510000,1.450000,2.280000,3.03,5922500.00
9,9,45,11,02,4,4,35,0.000000,01,0.000,0,0.00,21.18,6.410000,0.000000,0.000000,6.28,7201200.00
10,1,22,8,02,9,7,10,14.000000,01,400000.000,1,3.95,30.04,6.910000,0.950000,1.230000,4.02,3103600.00
11,3,23,14,02,15,8,35,25.000000,01,1000000.000,1,8.02,50.41,10.440000,1.020000,3.790000,6.06,8964780.00
12,1,20,24,02,12,5,35,12.000000,01,600000.000,1,60.00,35.76,8.010000,1.490000,1.320000,5.30,6679200.00
13,9,21,8,02,4,1,35,28.000000,01,0.000,1,0.00,65.64,12.730000,1.620000,5.500000,26.52,11158800.00
14,3,15,30,01,3,1,29,0.000000,01,0.000,0,0.00,177.56,53.710000,0.000000,0.000000,82.56,25150240.00
15,3,23,8,02,12,7,10,33.000000,01,0.000,0,0.00,45.68,8.580000,1.690000,4.950000,7.08,5474800.00
16,10,48,6,02,5,1,35,0.000000,04,0.000,0,0.00,10.32,3.000000,0.120000,0.000000,4.38,5366400.00
17,9,39,5,01,4,1,35,0.000000,01,0.000,0,0.00,26.67,8.070000,0.000000,0.000000,14.08,13068300.00
18,9,9,8,02,17,3,35,31.000000,04,700000.000,1,8.37,26.12,4.800000,0.680000,2.430000,5.32,6054600.00
19,9,22,8,02,12,9,35,21.000000,01,1200000.000,1,8.71,33.76,7.210000,0.880000,2.120000,15.34,10315200.00
20,9,25,14,02,14,3,35,8.000000,01,0.000,0,0.00,34.23,8.930000,0.910000,0.850000,5.14,10955400.00
21,9,43,5,02,4,2,35,0.000000,01,0.000,0,0.00,23.65,7.150000,0.000000,0.000000,10.59,8277500.00
22,9,7,10,02,14,9,10,32.000000,01,3800000.000,2,9.74,66.77,11.730000,2.000000,6.460000,10.89,29172600.00
23,10,40,8,01,5,1,30,0.000000,01,0.000,0,0.00,31.34,8.230000,1.250000,0.000000,9.30,17550400.00
24,3,9,8,02,4,1,10,0.000000,01,0.000,0,0.00,75.32,21.890000,0.890000,0.000000,37.58,12709080.00
25,1,34,12,02,5,3,11,0.000000,01,0.000,0,0.00,37.43,10.460000,0.870000,0.000000,10.60,3368700.00
26,10,37,10,02,4,4,11,0.000000,01,0.000,0,0.00,34.52,8.790000,1.650000,0.000000,12.68,11046400.00
27,1,30,8,02,5,1,35,0.000000,04,0.000,0,0.00,95.26,26.380000,2.440000,0.000000,26.02,9051440.00
